frame,errorType,checksum,crc8,crc10,crc16,crc32
849,4,0,0,0,0,1
850,0,0,0,0,0,0
851,1,1,1,1,1,1
852,2,0,1,1,1,1
853,3,1,1,1,1,1
854,4,0,1,0,0,1
855,0,0,0,0,0,0
856,1,1,1,1,1,1
857,2,0,1,1,1,1
858,3,1,1,1,1,1
859,4,0,0,0,0,1
860,0,0,0,0,0,0
861,1,1,1,1,1,1
862,2,0,1,1,1,1
863,3,1,1,1,1,1
864,4,0,0,1,1,1
865,0,0,0,0,0,0
866,1,1,1,1,1,1
867,2,0,1,1,1,1
868,3,1,1,1,1,1
869,4,0,0,0,0,1
870,0,0,0,0,0,0
871,1,1,1,1,1,1
872,2,0,1,1,1,1
873,3,1,1,1,1,1
874,4,0,1,0,0,1
875,0,0,0,0,0,0
876,1,1,1,1,1,1
877,2,0,1,1,1,1
878,3,1,1,1,1,1
879,4,0,0,0,0,1
880,0,0,0,0,0,0
881,1,1,1,1,1,1
882,2,0,1,1,1,1
883,3,1,1,1,1,1
884,4,0,1,1,0,1
885,0,0,0,0,0,0
886,1,1,1,1,1,1
887,2,1,1,1,1,1
888,3,1,1,1,1,1
889,4,0,0,0,0,1
890,0,0,0,0,0,0
891,1,1,1,1,1,1
892,2,0,1,1,1,1
893,3,1,1,1,1,1
894,4,0,0,1,0,1
895,0,0,0,0,0,0
896,1,1,1,1,1,1
897,2,0,1,1,1,1
898,3,1,1,1,1,1
899,4,0,0,0,0,1
900,0,0,0,0,0,0
901,1,1,1,1,1,1
902,2,0,1,1,1,1
903,3,1,1,1,1,1
904,4,0,0,0,0,1
905,0,0,0,0,0,0
906,1,1,1,1,1,1
907,2,0,1,1,1,1
908,3,1,1,1,1,1
909,4,0,0,0,0,1
910,0,0,0,0,0,0
911,1,1,1,1,1,1
912,2,0,1,1,1,1
913,3,1,1,1,1,1
914,4,0,0,0,0,1
915,0,0,0,0,0,0
916,1,1,1,1,1,1
917,2,0,1,1,1,1
918,3,1,1,1,1,1
919,4,0,1,0,0,1
920,0,0,0,0,0,0
921,1,1,1,1,1,1
922,2,0,1,1,1,1
923,3,1,1,1,1,1
924,4,0,1,1,1,1
925,0,0,0,0,0,0
926,1,1,1,1,1,1
927,2,0,1,1,1,1
928,3,1,1,1,1,1
929,4,0,0,0,0,1
930,0,0,0,0,0,0
931,1,1,1,1,1,1
932,2,0,1,1,1,1
933,3,1,1,1,1,1
934,4,0,0,0,0,1
935,0,0,0,0,0,0
936,1,1,1,1,1,1
937,2,0,1,1,1,1
938,3,1,1,1,1,1
939,4,0,0,0,0,1
940,0,0,0,0,0,0
941,1,1,1,1,1,1
942,2,0,1,1,1,1
943,3,1,1,1,1,1
944,4,0,0,1,1,1
945,0,0,0,0,0,0
946,1,1,1,1,1,1
947,2,0,1,1,1,1
948,3,1,1,1,1,1
949,4,0,0,0,0,1
950,0,0,0,0,0,0
951,1,1,1,1,1,1
952,2,1,1,1,1,1
953,3,1,1,1,1,1
954,4,0,1,0,0,1
955,0,0,0,0,0,0
956,1,1,1,1,1,1
957,2,0,1,1,1,1
958,3,1,1,1,1,1
959,4,0,0,0,0,1
960,0,0,0,0,0,0
961,1,1,1,1,1,1
962,2,0,1,1,1,1
963,3,1,1,1,1,1
964,4,0,0,0,1,1
965,0,0,0,0,0,0
966,1,1,1,1,1,1
967,2,0,1,1,1,1
968,3,1,1,1,1,1
969,4,0,1,0,0,1
970,0,0,0,0,0,0
971,1,1,1,1,1,1
972,2,0,1,1,1,1
973,3,1,1,1,1,1
974,4,0,1,1,1,1
975,0,0,0,0,0,0
976,1,1,1,1,1,1
977,2,0,1,1,1,1
978,3,1,1,1,1,1
979,4,0,0,0,1,1
980,0,0,0,0,0,0
981,1,1,1,1,1,1
982,2,0,1,1,1,1
983,3,1,1,1,1,1
984,4,0,1,0,1,1
985,0,0,0,0,0,0
986,1,1,1,1,1,1
987,2,0,1,1,1,1
988,3,1,1,1,1,1
989,4,0,0,0,0,1
